,Tweets,Sbjectivity_Scale,Polarity_Scale,Sentiment_Tags
229,best flight attendant ever help t co pxdel1nq3l,0.35,0.6,Positive
230,virginamerica watch nominate film 35 000 foot meetthefleet oscar help t co dnstitrzwy,0.0,0.0,Neutral
231,thanks much,0.2,0.2,Positive
232,try reset password email never arrive help,0.0,0.0,Neutral
233,airline base silicon valley disruption fcmostinnovative incubator fastcompany help t co wu3lbcncr9,1.0,-0.8,Negative
234,nicely do,1.0,0.6,Positive
235,look forward watch oscar flight home tomorrow might even get something bubbly drink,0.0,0.0,Neutral
236,reason delay departure ex 413 jak afternoon,0.0,0.0,Neutral
237,today flight palm spring ca jak ny cancel light,0.7,0.4,Positive
238,hahaha virginamerica guy amaze love guy,0.5,0.35,Positive
239,sound like fun,0.30000000000000004,0.35,Positive
240,update flight 413 jak lax,0.0,0.0,Neutral
241,spruce moose,0.0,0.0,Neutral
242,as site 404 right please fix site unusable,0.5357142857142857,0.2857142857142857,Positive
243,flight 910 vega boston today check online bag count register fix somehow,0.0,0.0,Neutral
244,classic luv virgin america greeting,0.16666666666666666,0.16666666666666666,Positive
245,hi try checkin website work try 3 different browser problem continue,0.6,0.0,Neutral
246,thanks great customer service today amp help get travel sort,0.475,0.5,Positive
247,thanks guy sweet route rockies airplanemodewason,0.42500000000000004,0.275,Positive
248,love music blast gate boston wait flight sanfrancisco could get iced coffee,0.6,0.5,Positive
249,passenger ad felt 338 assault flown trust ban crew file report fatness,0.0,0.0,Neutral
250,current bug website show select departure city select destination city help t co sllyibe2vq,0.4,0.0,Neutral
251,luggage severely dent miss wheel come baggage claim san luggage agent miranda think help,0.0,0.0,Neutral
252,thank easy itinerary shift impend weather quick painless amp free,0.7111111111111112,0.38888888888888884,Positive
253,i d love see girl inspire become pilot free wow event march 2 8 ab help t co rfxlv1kgdh,0.7999999999999999,0.3333333333333333,Positive
254,thanks good time back vodkatonics entire flight,0.35625,0.22499999999999998,Positive
255,beat expectation share take santa cruz sentinel help t co qm9dqbai6g,0.0,0.0,Neutral
256,plan start fly direct dal la,0.65,0.45,Positive
257,big love gratitude mpower help t co 1agr9kncpf erin oscars2105 vipswagbags avalonhollywood help t co ybmbgs0dhn,0.35,0.25,Positive
258,great job add little luxury aesthetic improve air travel experience thank keep,0.625,0.30625,Positive
259,request window seat confirm window get stuck middle seat good way treat silver member,0.30000000000000004,0.35,Positive
260,grand budapest hotel oscarscountdown,1.0,0.5,Positive
261,miss news next trip 407,0.0,0.0,Neutral
262,wif pay direct flight purpose stop fuel exhaust frequent flier nothing inconvenience,0.35,0.1,Positive
263,something wrong website safari iphone,0.9,-0.5,Negative
264,thanks gate check baggage full flight dfw lax 883 give early boarding sweet,0.42500000000000004,0.25,Positive
265,already check page expire,0.0,0.0,Neutral
266,boo refund seat upgrade fee want buy first place,0.3333333333333333,0.25,Positive
267,share rise qi financial result usa today help t co lfs4pefe6y,0.0,0.0,Neutral
268,add pillow instead lie flat seat first class arm race help t co rgywjbbhm4,0.22916666666666666,0.1125,Positive
269,see,0.0,0.0,Neutral
270,way take advantage mayweatherpacquiao,0.0,0.0,Neutral
271,know fly virgin fight mayweatherpacquiao,0.9,0.8,Positive
272,inflight team make experience amaze,0.0,0.0,Neutral
273,cutest salt pepper shaker ever think guy ca get better help t co vc6keulg2j,0.5,0.5,Positive
274,move seat notice well seat cabin select behind row select disappointed,0.725,-0.575,Negative
275,share iq result oil help t co xz6qeg3nef,0.0,0.0,Neutral
276,fav airline,0.0,0.0,Neutral
277,hot female pilot sweet dna,0.5555555555555557,0.19999999999999998,Positive
278,guy go start fly paris virginamerica lizautter welcome,0.9,0.8,Positive
279,policy fly surgery still wait answer tell doctor,0.9,0.8,Positive
280,already contacted central baggage amp send renttherunway charge dress lose suitcase help,0.25,0.0,Neutral
281,thank,0.0,0.0,Neutral
282,anything go website i ve get lot error past 30 minute,0.25,-0.25,Negative
283,think leave something plane yesterday call ah,0.0,0.0,Neutral
284,need follow back order,0.0,0.0,Neutral
285,need start fly kciairport ________,0.9,0.8,Positive
286,told check airline regulation first contact,0.3333333333333333,0.25,Positive
287,virginatlantic check flight lax amp tell atlantic fly club gold get benefit,0.9,0.8,Positive
288,husband order three drink via screen never come awesome,1.0,1.0,Positive
289,soooo guy go leave seatbelt light flight barely call turbulence,0.39999999999999997,0.225,Positive
290,policy fly surgery,0.9,0.8,Positive
291,post second consecutive full year net profit atwonline help t co tvb5zbzvhg,0.18333333333333335,0.11666666666666665,Positive
292,funny story website broken miss javascript stylesheets checkin process dislike,0.7,-0.07500000000000001,Negative
293,would love virgin like goro,0.6,0.5,Positive
294,result handily exceed forecast time help t co gonmrwem6i,0.9,0.6,Positive
295,apply position flylaxairport wonder guy receive application,0.0,0.0,Neutral
296,achieves second year profitability despite revenue pressure capa_aviation help t co zsuztnaijq,0.0,0.0,Neutral
297,give positive outlook see increase competition reuters help t co jeu7od3eyj,0.5454545454545454,0.22727272727272727,Positive
298,try check 10 50am flight tom desktop website work sort cache bug so,0.0,0.0,Neutral
299,weather delay next week jak bos dna,0.0,0.0,Neutral
300,madbee95 check website go airport,0.0,0.0,Neutral
301,guy know checkin link email broken help t co 2npxb6obmr,0.4,-0.4,Negative
302,pilot say expect choppy landing ny due gusty wind wa temperature 5 degree amp withe windchill 8,0.2875,-0.1625,Negative
303,love ca wait monday return flight mostly watch inflight safety video sorrynotsorry,0.55,0.5,Positive
304,lose luggage 4 day ago flight ex 112 lax iad amp call every day response please give back stuff,0.0,0.0,Neutral
305,flight book problem section website seem broken chrome might wan na look,0.275,-0.30000000000000004,Negative
306,hi want see new route plan year newark love fly guy hope,0.6515151515151515,0.4787878787878788,Positive
307,mean probably inappropriate board,0.6875,-0.3125,Negative
308,happy spend day together let,1.0,0.8,Positive
309,save sanity right help t co eltboljul9,0.5357142857142857,0.2857142857142857,Positive
310,miss flight standby work,0.0,0.0,Neutral
311,understanding help comp,0.0,0.0,Neutral
312,brought way across country today see help t co tkauygcpms,0.0,0.0,Neutral
313,thank absolutely,0.9,0.2,Positive
314,look like broken link asset hat t co oardjjgrrd,0.4,-0.4,Negative
315,ready let say together noooo turbulence today,0.5,0.2,Positive
316,manage itinerary section website seem break hate t co 2pujvcelng,0.9,-0.8,Negative
317,ca check site look like every time load help t co kacy2awdbw,0.0,0.0,Neutral
318,u help freyabevan_fund need urgent treatment in____2y old battling cancer could u help flight freyasfund,0.2,0.1,Positive
319,may start service hawaii sanfrancisco year help t co ypo7nyprzl biztravel,0.0,0.0,Neutral
320,carrier less half price round trip fare stun help t co ukdjjijrow,0.2111111111111111,-0.17777777777777778,Negative
321,wif happen pox late flight march one way 550,0.6,-0.3,Negative
322,add dew sell,0.0,0.0,Neutral
323,free drink flight back free promo,0.5333333333333333,0.26666666666666666,Positive
324,seal thanks,0.2,0.2,Positive
325,momma make ______,0.0,0.0,Neutral
326,please contact portfolio leave flight ex 27 jak tonite seat need return call 914 329 0185,0.0,0.0,Neutral
327,help flight 27 tonight seat ac leave portfolio need back,0.0,0.0,Neutral
328,shrinerack seattle bound wifey get duffle day keeper holla help t co jloiblnair,0.0,0.0,Neutral
329,luggage go i ve file paperwork promise call email still resolution response central luggage,0.25,0.0,Neutral
330,debbie baldwin give rockstar performance safety demo even vx919 lasso beshrew shock,0.0,0.0,Neutral
331,thanks,0.2,0.2,Positive
332,thanks take care super flight rockstars travel,0.43333333333333335,0.26666666666666666,Positive
333,thanks lovely soft view travel san help t co cnctl7g1ef,0.4333333333333333,0.26666666666666666,Positive
334,request mileage challenge status several week ago online hear back get help,0.0,0.0,Neutral
335,try book ticket ny face super fun broken style worry keep try,0.4222222222222222,0.07777777777777777,Positive
336,many thanks follow ourprincess freyasfund usa bandit look help ______________ ______ help t co ujfs9zi6kd,0.35,0.35,Positive
337,nice lofty view flylaxairport silverstatus help t co f4tp0dawbd,1.0,0.6,Positive
338,apply status match feb 1 get confirmation email day still news though guy drop ball late slightly,0.3833333333333333,-0.23333333333333334,Negative
339,new go airline,0.45454545454545453,0.13636363636363635,Positive
340,h342 americana help ourprincess need help usa ______________ help t co 778aztdaer,0.0,0.0,Neutral
341,adore look forward flight austin two week,0.0,0.0,Neutral
342,glad mention take first virgin flight year back transformative experience,0.4444444444444444,0.25,Positive
343,flight book problem flight uphold status match tax ticket count earn status point statusmatch virginamerica,0.0,0.0,Neutral
344,try checkin look like site,0.0,0.0,Neutral
345,spending birthday night dal dca get home,0.0,0.0,Neutral
346,sent couple message email provide avail try next year cheer,0.0,0.0,Neutral
347,first time fly virgin go sanfrancisco thanks smooth ride easily new fav airline,0.47757575757575754,0.35727272727272724,Positive
348,seriously though direct flight sfo fll may,0.5333333333333333,-0.11666666666666665,Negative
349,fine already do purchase try go way go back 3,0.25,0.20833333333333334,Positive
350,really experience hop 4 force 2 check small carry nothing empty cabin space board,0.3666666666666667,-0.049999999999999996,Negative
351,luggage slow lax,0.39999999999999997,-0.30000000000000004,Negative
352,jump dallas austin market help t co szr0pioa21,0.0,0.0,Neutral
353,spoke representative offer solution loyal customer fly virginatlantic well,0.8666666666666667,0.5666666666666667,Positive
354,deeply disappointed birthday promo apply trip book mere day receive email,0.625,-0.625,Negative
355,happen direct flight sfo fll look may see connect help dontdothistome,0.4,0.1,Positive
356,help leave blazer hooples jacket bag ord row second seat right gate 36 lax flight,0.26785714285714285,0.14285714285714285,Positive
357,partner visa checkout mobile payment method help boost mobile conversion rate etailwest payment visa,0.0,0.0,Neutral
358,promote product problem southwest recommend someother best help t co tfanxbh1cf,0.3,1.0,Positive
359,love guy plus get direct route las au,0.5,0.3,Positive
360,would like help flight please,0.0,0.0,Neutral
361,__virginamerica giannilee turn vxsafetydance_,0.0,0.0,Neutral
362,course work virginatlantic obsess entire virgin family,0.625,0.0,Neutral
363,ok first time fly tonight,0.5777777777777778,0.5166666666666667,Positive
364,dig swanky pink mood light flight ny need cabaret singer think,0.5,0.15000000000000002,Positive
365,do need receipt asap could please help 150219 000114,0.0,0.0,Neutral
366,ad ad emboss badge patch superior one currently use help t co 3fq3xelbon,0.65,0.35,Positive
367,vx399 jak la dirty plane standard,0.4,-0.3,Negative
368,flight vx399 head la jak dirtiest va plane ever sad great airline,0.875,0.15000000000000002,Positive
369,got square away someone pick soon tweet tweet sooner,0.0,0.0,Neutral
370,avis rental continue button work website book car try 4 time phone suck,0.0,0.0,Neutral
371,delay to10 30,0.0,0.0,Neutral
372,currently minute 10 hold cust service need anything add lap child reservation,0.4,0.0,Neutral
373,add pillow instead lie flat seat first class arm race help t co sfjduahx9z shift,0.22916666666666666,0.1125,Positive
374,karinslee course fun celebrate _ thanks happy chinese new year,0.3709090909090909,0.2872727272727273,Positive
375,flight book problem last second flight next week san chance want gift promo code since love guy,0.16666666666666666,0.125,Positive
